per Act; per Rep; id, p1x, p1y, p1z, p2x, p2y, p2z, growth_rate,directions
0.00

acts
3,78.95,53.75,0.48,73.87,58.12,0.48,1.64
4,71.08,7.96,0.48,68.28,11.58,0.51,1.64
5,72.08,54.7,0.51,70.33,55.94,0.51,1.64
6,36.88,18.96,0.51,40.22,20.66,0.48,1.64
7,72.88,51.67,0.49,69.66,54.01,0.52,1.64
8,60.05,4.04,0.5,66.93,2.34,0.48,1.64
9,66.8,10.12,0.53,68.19,6.62,0.47,1.64
10,67,53.64,0.52,71.32,49.96,0.5,1.64
11,65.25,1.37,0.51,62.15,1.37,0.53,1.64
12,80.33,56.56,0.51,78.33,57.25,0.49,1.64
13,39.27,22.37,0.48,35.74,19.32,0.51,1.64
14,36.74,13.28,0.51,32.9,11.58,0.5,1.64
15,80.51,50.59,0.47,77.11,54.06,0.53,1.64
16,71.99,7.63,0.51,74.66,4.87,0.51,1.64
17,60.66,11.59,0.51,61.8,8.41,0.48,1.64
18,74.28,52.21,0.51,76.98,50.47,0.48,1.64
19,42.04,25.69,0.51,36.98,21.85,0.51,1.64
20,36.52,15.33,0.51,39.84,16.82,0.5,1.64
21,62.39,5.67,0.51,60.69,6.48,0.49,1.64
22,74.39,0.44,0.53,68.86,0.41,0.54,1.64
23,72.93,57.91,0.52,67.22,58.63,0.49,1.64
24,82.69,52.37,0.47,77.32,56.81,0.49,1.64
25,63.29,51.83,0.5,69.26,50.43,0.49,1.64
26,67.91,12.5,0.5,66.48,15.01,0.5,1.64
27,64.82,11,0.51,63.07,13.57,0.51,1.64
28,81.74,49.21,0.51,77.95,50.38,0.52,1.64
29,35.31,16.92,0.51,32.32,15.38,0.51,1.64
30,69.49,52.78,0.48,66.95,55.45,0.52,1.64
31,34.54,19.1,0.5,36.38,22.86,0.49,1.64
32,33.89,10.72,0.51,30.15,8.96,0.5,1.64
33,61.82,12.63,0.51,65.12,8.48,0.47,1.64
34,61.57,0.43,0.48,67.9,0.42,0.48,1.64
35,41.69,19.21,0.5,36.12,16.22,0.49,1.64
36,66.04,57.81,0.49,71.18,57.09,0.52,1.64
37,73.28,48.35,0.51,69.51,49.48,0.51,1.64
38,73.33,2.53,0.46,67.52,3.84,0.53,1.64
39,66.6,56.75,0.51,70.34,54.74,0.48,1.64
40,67.77,2.84,0.54,74.08,1.43,0.54,1.64
41,59.65,8.45,0.51,64.03,5.82,0.53,1.64
42,84.99,50.88,0.52,81.38,55.7,0.52,1.64
43,74.68,6.24,0.51,73.51,7.53,0.5,1.64
